Id;codpro;descpro;prvapro;qtdpro
13;250;LAMPADA H1 55W;16;16
15;254;LAMPADA 67 1 POLO PLACA VW 10W;2;8
16;274;FUSIVEL MINI LAMINA 15 AMP;1;52
19;280;FUSIVEL LAMINA 15 AMP;0.5;5
23;288;FUSIVEL MINI LAMINA 20 AMP;0.5;24
40;508;RETENTOR HASTE VALV CORSA;3;24
41;509;RETENTOR HASTE VALV GOL;3;24
42;521;ABRAÇADEIRA 19X27 9MM;2.5;294
47;586;CORREIA DENTADA CORSA 111D;43;70
52;635;LAMPADA H7 55W PHILPS;25;94
61;746;DESCARBONIZANTE CAR80;29;351
68;773;KIT EMBREAGEM MONTANA CORSA 200MM;369;29
73;834;RETENTOR HASTE VALV GOL POWER;3.5;288
88;1010;RETENTOR HASTE VALVULA FIESTA;9.5;8
92;1040;THINNER B52 VELOZ LITRO;26;519
96;1061;OLEO MOTOR CASTROL GTX ANTIBORRA 20W50;29.9;121
151;1543;TAMPA OLEO PALIO FIRE AMARELA;20;388
159;1635;PIVO SUSP DIANT PALIO UNO;32;125
171;1754;FILTRO OLEO PALIO FIRE;13;6
172;1770;VELA IGNICAO FIESTA;17;4
177;1833;LAMPADA H7 12V HALOWAY;15;181
197;2202;RETENTOR VOLANTE PALIO FIRE;162;16
207;2364;KIT EMBREAGEM PALIO SIENA FIRE;319;29
248;2785;BOMBA COMBUSTIVEL UNIVERSAL 159A FLEX;135;13
251;2811;SONDA LAMBDA GOL POWER;299;2
266;2896;OLEO MOTOR DULUB ECONOLINE 20W50 SL;19;309
270;2969;VELA IGNICAO PALIO FIRE;22;28
273;2985;LAMPADA H4 60/55W;16;44
278;35594;LIMPA CONTATO CAR80 300ML;16;94
279;3041;VELA IGNICAO CORSA CELTA FLEX;18;144
292;3198;AMORT DIANT CORSA CELTA;179;16
293;3205;KIT EMBREAGEM PALIO STRADA;309;10
306;3374;ROLAMENTO RODA DIANT PALIO;72;44
327;3708;ROLAMENTO RODA DIANT GOL;75;50
329;3729;FILTRO COMBUSTIVEL CORSA PALIO;11;2
331;3732;FILTRO OLEO GOL MI POWER;15;245
342;3847;ROLAMENTO RODA DIANT STRADA;76;16
364;4025;LAMPADA 2 POLOS 12V P21/5W;2.5;2
365;4029;AMORT TRAS PALIO MPI FIRE;149;18
377;4167;FILTRO COMBUSTIVEL CORSA PALIO FIRE;12;218
390;4370;AMORT TRAS CORSA CELTA;129;9
393;4400;ADITIVO RAD ROSA PARAFLU PRONTO P/ USO;22;677
399;4539;VELA IGNICAO PEUGEOT RENAULT;29;60
404;4690;VELA IGNICAO GOL POWER FLEX;19;16
412;M0250;RETENTOR HASTE VALV CLIO;11;16
413;M0270;BALANCIM MOTOR CORSA;20;8
431;M0443;TERMINAL DIREÇAO PALIO LD;52;16
432;M0446;ARVORE MANIVELA PALIO FIRE;949;2
485;M0733;FILTRO OLEO CORSA CELTA;11;9
492;M0787;JUNTA TAMPA VALV PALIO FIRE;22;39
518;M0991;VELA IGNICAO GOL GV POWER;28;156
576;15683;KIT AMORT DIANT CORSA COMPL;51;60
583;M1442;CORREIA DENTADA PALIO FIRE 129D;59;57
585;M1458;ROLAMENTO COIFA CAMBIO PALIO;55;23
599;M1604;PNEU 175/70 R14 DUNLOP;399;15
702;2339;BIELETA BARRA ESTAB UNO NOVO;41;37
730;M2561;KIT BUCHA BARRA ESTAB PALIO FIRE;20;38
801;M3110;CORREIA DENTADA PALIO FIRE 124D;57;10
807;M3198;VELA IGNICAO CELTA FLEX;19;52
826;M3348;BATERIA MOURA M60GD;599;54
837;M3474;FILTRO OLEO FIESTA KA;14;65
954;M4630;BUCHA BAND DIANT GOL GV;20;5
962;M4669;BUCHA BARRA ESTAB DIANT FOX GOL GV;7;8
990;M4872;KIT EMBREAGEM PALIO IDEA DOBLO;297;12
1053;M5307;FILTRO CABINE PALIO FIRE;9;10
1076;M5519;PNEU 195/55 R15 85V ULTIMAPRO DELMAX;349;34
1126;49251;OLEO MOTOR IPIRANGA F1 MASTER SP 0W20;49;546
1138;5912;FILTRO CABINE GOL GV POLO/FOX;13;10
